Date,GLD,SP_open,DJ_open,EG_open,OF_Open,OS_Open,SF_Open,USB_Open,PLT_Open,PLD_Open,USDI_Open,GDX_Open,USO_Open
25-10-2013,129.529999,175.509995,15523.71973,34.25,107.09,97.27,49930,2.52,1449.6,746.8,79.255,25.98,35.060001
28-10-2013,130.410004,175.889999,15569.19043,34.900002,107.04,97.94,49655,2.514,1452.8,743.2,79.3,26.389999,35.279999
29-10-2013,130.160004,176.630005,15572.20996,35.75,109.41,98.62,49777,2.52,1468.4,745.1,79.385,26.389999,35.389999
30-10-2013,130.830002,177.380005,15680.74023,35.299999,108.76,97.79,49430,2.509,1459.5,745.1,79.7,26.25,35.07
01-11-2013,126.860001,176.020004,15558.00977,33.200001,109.05,96.38,48502,2.56,1452.1,737.8,80.33,24.66,34.450001
04-11-2013,127.18,176.690002,15621.2002,33.150002,105.78,94.57,48603,2.615,1454.45,751,80.81,24.379999,34.060001
05-11-2013,126.709999,176.139999,15631.21973,33.75,106.25,94.51,48050,2.602,1455.25,745.15,80.63,24.629999,33.93
06-11-2013,127.110001,177.029999,15628.71973,33.700001,105.64,93.79,48105,2.668,1452.55,752.5,80.785,24.74,33.860001
07-11-2013,126.139999,177.5,15751.30957,33.650002,105,95,48535,2.644,1465.25,763.6,80.625,24.42,34.040001
08-11-2013,124.459999,174.869995,15591.54004,31.950001,103.53,94.39,48590,2.602,1457.05,761.6,80.955,23.870001,34.080002
11-11-2013,123.919998,177.119995,15759.28027,32.099998,105.17,94.51,48500,2.751,1441.85,757.7,81.38,24.049999,34.029999
12-11-2013,123.510002,176.940002,15773.15039,33.25,106.4,95.05,48150,2.766,1434.1,753.5,81.19,24.049999,34.110001
13-11-2013,122.970001,176.089996,15739.5,32.900002,105.93,93.14,47560,2.77,1432,739.2,81.22,23.959999,33.849998
14-11-2013,123.919998,178.539993,15806.21973,32.900002,107.17,93.59,46780,2.718,1438.95,735.2,80.865,24.25,33.68
15-11-2013,124.160004,179.559998,15876.16016,33.349998,108.38,93.99,46859,2.696,1448.6,739.4,81.11,24.629999,34.049999
18-11-2013,123.699997,180.350006,15962.71973,32.700001,108.5,93.81,46541,2.714,1441.3,730.6,80.875,24.08,33.900002
19-11-2013,122.970001,179.330002,15974.05957,31.65,108.3,93.25,45156,2.669,1412.9,713.9,80.74,23.74,33.68
20-11-2013,121.669998,179.389999,15971.2002,31.4,107.2,93.33,45621,2.707,1417.5,720.3,80.62,23.389999,33.779999
21-11-2013,119.809998,178.970001,15908.07031,30.200001,107.76,93.78,44851,2.811,1394.45,712.2,81.19,22.629999,33.959999
22-11-2013,120.239998,179.979996,16008.70996,30.15,110.07,95.4,45167,2.784,1391.05,712.4,81.04,22.629999,34.099998
25-11-2013,119.18,181.130005,16072.08984,29.049999,109,94.2,44301,2.755,1382.45,717.9,80.72,21.85,33.639999
26-11-2013,119.839996,180.720001,16070.92969,29.6,111.08,94.26,44490,2.719,1391,722.6,80.83,21.98,33.779999
27-11-2013,120.489998,180.869995,16073.37012,29.4,111,93.58,44350,2.714,1377.05,716.7,80.69,21.879999,33.18
29-11-2013,120.669998,181.320007,16105.16016,30.1,111.04,92.35,44096,2.746,1358.45,717.95,80.565,22.110001,33.32
02-12-2013,119.199997,181.089996,16087.12012,29.65,109.6,92.77,44011,2.753,1366.05,716.05,80.685,21.790001,33.470001
03-12-2013,117.580002,179.940002,16004.71973,28.15,111.53,93.89,42845,2.801,1346.95,712.05,80.95,20.77,33.799999
04-12-2013,118.330002,179.100006,15910.50977,27.950001,112.91,96.96,43000,2.788,1358.55,716,80.675,20.83,34.759998
05-12-2013,118.199997,179.410004,15886.5,27.75,111.65,97.41,43415,2.835,1364.45,729.55,80.675,20.620001,34.939999
06-12-2013,118.860001,180.669998,15825.54981,28,111.07,97.47,44144,2.879,1360.65,732.35,80.305,21.01,34.919998
09-12-2013,118.989998,181.470001,16019.49023,28.25,111.69,97.72,43951,2.864,1355.7,734.55,80.23,20.799999,35.099998
10-12-2013,122.139999,180.979996,16024.12012,29.65,109.31,97.28,44398,2.844,1369.7,744,80.155,21.879999,35.299999
11-12-2013,121.489998,180.820007,15970.75,29.799999,109.45,98.71,45499,2.821,1387.9,738.9,79.99,22.01,35.150002
12-12-2013,118.610001,178.639999,15844.82031,27.75,109.52,97.62,45747,2.859,1383.65,732.55,79.965,20.67,35.139999
13-12-2013,118.889999,178.5,15745.66016,28.35,108.53,97.68,44231,2.877,1363.85,720.7,80.22,21.24,34.709999
02-01-2014,117.93,183.979996,16572.16992,29.25,111,98.54,44000,3.038,1377.1,718.4,80.43,21.59,34.689999
03-01-2014,118.639999,183.229996,16456.89063,30.15,107.88,95.62,45300,2.984,1402.25,731,80.765,22.139999,34.130001
06-01-2014,119.760002,183.490005,16474.03906,29.700001,106.8,94.27,45421,3.013,1406.85,731.2,81,21.99,33.619999
07-01-2014,118.459999,183.089996,16429.01953,28.9,107.03,93.63,45427,2.961,1415.85,739.2,80.86,21.700001,33.470001
08-01-2014,117.989998,183.449997,16527.66016,29.15,107.49,94.01,44340,2.945,1413.6,741.3,81.065,21.66,33.529999
09-01-2014,118.110001,184.110001,16471.41016,29.4,107.35,92.62,44170,2.987,1416.95,737.5,81.215,21.57,33.189999
10-01-2014,119.720001,183.949997,16453.61914,29.25,106.44,92.35,44079,2.973,1418.8,737.2,81.085,21.67,33.130001
13-01-2014,120.269997,183.669998,16434.0293,30.25,107.25,92.84,44860,2.864,1438.5,745.5,80.745,22.059999,33
14-01-2014,120.540001,182.289993,16261.99023,31.049999,106.62,91.59,45100,2.836,1446.65,741.9,80.67,22.469999,33.02
15-01-2014,119.190002,184.100006,16378.03027,29.950001,106.17,92.71,44666,2.875,1429.75,737.9,80.755,21.950001,33.259998
16-01-2014,119.839996,184.279999,16477.69922,31.049999,106.82,94.36,44801,2.893,1430.6,742.8,81.185,22.58,33.66
17-01-2014,120.349998,184.100006,16408.01953,32.400002,105.55,94.28,44560,2.845,1432.4,743.3,81.045,22.9,33.860001
21-01-2014,119.230003,184.699997,16459.26953,33.150002,106.35,94,44900,2.827,1465.65,748.2,81.305,23.049999,34
22-01-2014,119.650002,184.490005,16420.48047,33.200001,106.9,95.28,44558,2.83,1455.6,749,81.175,23.549999,34.200001
23-01-2014,120.970001,183.369995,16371.99023,33.549999,108.14,96.75,44230,2.871,1459.65,747.4,81.38,23.540001,34.669998
24-01-2014,122.059998,181.600006,16203.29004,33.400002,107.58,97.38,44864,2.781,1460.55,745.1,80.565,24.01,34.779999
27-01-2014,121.650002,179.059998,15879.04981,32.849998,107.91,96.98,44880,2.715,1439.35,736,80.53,23.52,34.540001
28-01-2014,121.32,178.139999,15840.83984,31.450001,106.86,95.69,45025,2.753,1418.2,722.3,80.59,23.02,34.59
29-01-2014,122.190002,177.580002,15927.08008,32.5,107.36,97.22,44100,2.775,1410.9,715.9,80.71,23.76,34.450001
30-01-2014,119.669998,178.830002,15743.03027,32.099998,107.85,97.5,44326,2.688,1415.9,715.3,80.64,23.309999,35.110001
03-02-2014,120.470001,177.970001,15697.69043,32.299999,106.4,97.47,43250,2.666,1376.4,703.3,81.385,23.690001,34.799999
04-02-2014,120.410004,174.949997,15372.92969,31.4,105.85,96.6,43717,2.586,1387.15,702.2,81.17,23.209999,34.720001
05-02-2014,121.760002,174.779999,15443,32.400002,106.09,97.75,43772,2.629,1375.65,701.7,81.215,23.790001,34.830002
06-02-2014,121.379997,175.580002,15443.83008,31,106.28,97.3,44505,2.669,1383.35,707.2,81.16,23.379999,35.16
07-02-2014,121.239998,178.309998,15630.63965,30.950001,107.32,98.05,44401,2.7,1376.8,709.5,80.965,23.23,35.060001
